,field_1,Job_title,Company_name,Location,FILE_NAME
1,1,Graduate Geospatial Specialist - Infrastructure & Consulting,Arup,"Solihull, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
4,4,GIS Analyst,Jacobs,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
5,5,GIS Analyst,Jacobs,"Wokingham, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
6,6,Geospatial Developer,Jacobs,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
10,10,Graduate Geospatial Specialist - Infrastructure & Consulting,Arup,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
11,11,Data Analyst,Arup,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
12,12,GIS Analyst,Jacobs,"London, England, United Kingdom",LONDON_ENGLISH_REGION
15,15,Geospatial Consultant,Royal HaskoningDHV,"Peterborough, England, United Kingdom",EASTERN_ENGLISH_REGION
17,17,Geospatial Consultant,Royal HaskoningDHV,"Exeter, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
18,18,ESRI Enterprise Administrator/ Developer,Jacobs,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
19,19,Geospatial Developer,Jacobs,"Leeds, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
20,20,Geospatial Consultant,Royal HaskoningDHV,"Liverpool, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
22,22,Geospatial Consultant,Royal HaskoningDHV,"Brighton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
23,23,Graduate Geospatial Specialist - Infrastructure & Consulting,Arup,"Newcastle upon Tyne, England, United Kingdom",NORTH_EAST_ENGLISH_REGION
25,25,Geospatial Consultant,Royal HaskoningDHV,"London, England, United Kingdom",LONDON_ENGLISH_REGION
27,27,Geospatial Consultant,Royal HaskoningDHV,"Newcastle upon Tyne, England, United Kingdom",NORTH_EAST_ENGLISH_REGION
28,28,Land Surveying Apprentice (Geospatial Technician) - Derby - 2022,Balfour Beatty plc,"Derby, England, United Kingdom",EAST_MIDLANDS_ENGLISH_REGION
30,30,ESRI Enterprise Administrator/ Developer,Jacobs,"London, England, United Kingdom",LONDON_ENGLISH_REGION
31,31,Land and Measured Building/Geospatial Surveyor,Ridge and Partners LLP,"Oxford, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
34,34,Graduate Geospatial Specialist - Infrastructure & Consulting,Arup,"London, England, United Kingdom",LONDON_ENGLISH_REGION
35,35,(Geospatial) Data Engineer,Lorien,"London, England, United Kingdom",LONDON_ENGLISH_REGION
37,37,ESRI Enterprise Administrator/ Developer,Jacobs,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
38,38,Geospatial Software Engineer,Planet,"London, England, United Kingdom",LONDON_ENGLISH_REGION
39,39,Geospatial Graduate Programme,Ordnance Survey,"Southampton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
41,41,Sales Consultant â€“ Geospatial and Information Management,Jacobs,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
42,42,Geospatial Data Scientist/Analyst (Digital Connectivity),"Department for Digital, Culture, Media and Sport (DCMS)","London, England, United Kingdom",LONDON_ENGLISH_REGION
44,44,Hydroinformatics Developer,Jacobs,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
45,45,Hydroinformatics Developer,Jacobs,"Leeds, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
46,46,GIS Analyst,Stantec,"Leeds, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
48,48,Geospatial Consultant,Royal HaskoningDHV,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
50,50,Geospatial Data Scientist,Harnham,"London, England, United Kingdom",LONDON_ENGLISH_REGION
53,53,Remote-sensing/geospatial Analyst,FloodFlash,"London, England, United Kingdom",LONDON_ENGLISH_REGION
54,54,Senior GIS Analyst,Jacobs,"Wokingham, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
55,55,Principal Geospatial Consultant,Jacobs,"London, England, United Kingdom",LONDON_ENGLISH_REGION
58,58,Asset Intelligence Consultant,Jacobs,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
60,60,Assistant GIS Consultant,Mott MacDonald,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
63,63,GIS Analyst,Stantec,"High Wycombe, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
64,64,GIS Officer,Milton Keynes Council,"Milton Keynes, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
65,65,Geospatial Data Scientist,Buro Happold,"Bath, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
66,66,Geospatial Consultant,Royal HaskoningDHV,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
67,67,Geospatial Data Scientist/Analyst (Digital Connectivity),"Department for Digital, Culture, Media and Sport (DCMS)","London, England, United Kingdom",LONDON_ENGLISH_REGION
68,68,GIS Solution Engineer/EMEA GIS Lead,JLL Technologies,"London, England, United Kingdom",LONDON_ENGLISH_REGION
69,69,GIS Consultant - Southampton / Home OR Manchester / Home,Tetra Tech,"Southampton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
70,70,Remote Sensing and Geospatial Analyst,2Excel Aviation Ltd,"Northampton, England, United Kingdom",EAST_MIDLANDS_ENGLISH_REGION
71,71,Principal GIS Consultant,Amey,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
74,74,Senior Geospatial Surveyor,Hays,"West Midlands, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
75,75,Geo Data Analyst,Sheer Jobs Limited,"Reading, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
76,76,Urban Data Scientist,Atkins,"London, England, United Kingdom",LONDON_ENGLISH_REGION
77,77,Geospatial Engineer,Rigour Survey,"Snetterton, England, United Kingdom",EASTERN_ENGLISH_REGION
78,78,Senior Machine Learning Engineer,Planet,"London, England, United Kingdom",LONDON_ENGLISH_REGION
79,79,Visual Analytics Developer,Atkins,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
80,80,Asset Intelligence Consultant,Jacobs,"London, England, United Kingdom",LONDON_ENGLISH_REGION
81,81,Geographic Information System Specialist,PUBLIC PRACTICE,"London Area, United Kingdom",LONDON_ENGLISH_REGION
82,82,GIS Analyst / Developer (at graduate level or above),HR Wallingford,"Wallingford, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
83,83,Data Scientist,Methods Analytics,"Sheffield, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
84,84,Test Analyst,Hays,"Southampton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
85,85,GIS Consultant,Mott MacDonald,"Leeds, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
86,86,GIS Developer,Satellite Vu,"London, England, United Kingdom",LONDON_ENGLISH_REGION
88,88,Data Scientist,BT,"London, England, United Kingdom",LONDON_ENGLISH_REGION
89,89,Graduate GIS Specialist,Thomson Environmental Consultants,"Guildford, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
90,90,Geospatial Technical Specialist,Prodapta,"Norwich, England, United Kingdom",EASTERN_ENGLISH_REGION
91,91,Geospatial 3D Web Mapping & Gaming Developer,Buro Happold,"Bath, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
92,92,Apprentice 3D Digital Surveyor,1st Horizon Surveying & Engineering Ltd,"South Yorkshire, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
93,93,GIS Analyst,Auckland Transport,"St. Helen Auckland, England, United Kingdom",NORTH_EAST_ENGLISH_REGION
94,94,Geospatial Surveyor - Lake District,Tetra Tech,"Cockermouth, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
95,95,Geospatial Processor / Data processor,Travail Employment Group Ltd.,"Harrogate, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
96,96,GIS Solution Engineer/EMEA GIS Lead,JLL,"London, England, United Kingdom",LONDON_ENGLISH_REGION
97,97,Graduate Spatial Data Consultants,1Spatial,"Cambridge, England, United Kingdom",EASTERN_ENGLISH_REGION
98,98,Geodata Analyst,Trimble Inc.,"Leeds, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
100,100,Advisers - Data & Evidence - various roles(Ref: 3758),Natural England,"London, England, United Kingdom",LONDON_ENGLISH_REGION
102,102,"Data Visualization Engineer - Geospatial, AI",Richard Wheeler Associates,"London, England, United Kingdom",LONDON_ENGLISH_REGION
103,103,Data Strategist,Hays,"London, England, United Kingdom",LONDON_ENGLISH_REGION
104,104,Full Stack Engineer: Geospatial Applications / Climate Tech,Climate X,"London, England, United Kingdom",LONDON_ENGLISH_REGION
105,105,Data Scientists & Data Engineers,Dstl,"Porton, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
106,106,Geospatial Specialist,MOLA (Museum of London Archaeology),"Northampton, England, United Kingdom",EAST_MIDLANDS_ENGLISH_REGION
107,107,GIS / Cartographic Consultant,networx | Recruitment Software & Services,"Bilston, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
108,108,Data Scientist,AiDash,"London, England, United Kingdom",LONDON_ENGLISH_REGION
109,109,Data Engineer,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
110,110,Graduate Consultant Natural Capital and Environmental - London/Aldgate,AECOM,"London, England, United Kingdom",LONDON_ENGLISH_REGION
111,111,Data Engineer - Geospatial / GIS - Fully Remote Working,Michael Page,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
112,112,Senior Geospatial Analyst,Office for National Statistics,"Fareham, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
113,113,SQL Database Developer & Analyst,TEP - The Environment Partnership,"Warrington, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
115,115,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
116,116,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
117,117,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
118,118,GIS Specialist,McLean HR,"Eynsham, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
119,119,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
120,120,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
121,121,Geospatial CAD Technician - All HALFF Locations,Halff Associates,"All Saints South Elmham, England, United Kingdom",EASTERN_ENGLISH_REGION
122,122,GIS Specialist,McLean HR,"Oxford, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
123,123,ML Ops Engineer,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
124,124,"Senior Data Scientist, ESG Innovation and Analytics",S&P Global,"London, England, United Kingdom",LONDON_ENGLISH_REGION
125,125,Data Analyst,Atkins,"London, England, United Kingdom",LONDON_ENGLISH_REGION
126,126,2022 Data Insights Unit Graduate Programme,Schroders,"London, England, United Kingdom",LONDON_ENGLISH_REGION
127,127,GIS Consultant/Senior GIS Consultant,Mott MacDonald,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
128,128,Senior Geospatial Surveyor - Midlands,Tetra Tech,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
129,129,Climate Scientist: Storms,Climate X,"London, England, United Kingdom",LONDON_ENGLISH_REGION
130,130,Data Scientist,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
131,131,Senior GIS Consultant,Atkins,"London, England, United Kingdom",LONDON_ENGLISH_REGION
132,132,Senior GIS Consultant,Mott MacDonald,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
133,133,Data Scientist,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
134,134,Application GIS Specialist,Networkers - Technology Recruitment,"Worthing, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
136,136,"Senior Data Scientist, ESG Innovation and Analytics",__,"London, England, United Kingdom",LONDON_ENGLISH_REGION
137,137,Data Scientist/AI Engineer,Capgemini,"London, England, United Kingdom",LONDON_ENGLISH_REGION
140,140,Spatial Data Engineer,Ex-MilitaryCareers.com,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
142,142,Sales Consultant â€“ Geospatial and Information Management,Jacobs,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
143,143,GIS Consultant,Capgemini,"London, England, United Kingdom",LONDON_ENGLISH_REGION
144,144,GIS Analyst - GEOGRAPHIC DATA - Spatial Analysis - London 45k,The Workplace Consultancy,"London, England, United Kingdom",LONDON_ENGLISH_REGION
145,145,Data Scientist,QBE Europe,"London, England, United Kingdom",LONDON_ENGLISH_REGION
147,147,Data Engineer,Landmark Information Group,"Exeter, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
149,149,Technical Trainer / Support Engineer,Trimble Inc.,"Milton Keynes, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
150,150,Principal GIS Consultant,Wood,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
151,151,Data Science Engineer,Jobs via eFinancialCareers,"London, England, United Kingdom",LONDON_ENGLISH_REGION
152,152,Data Engineer - GIS - Exeter,Michael Page,"Exeter, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
153,153,Cloud Operations Technical Writer,Trimble Inc.,"Ipswich, England, United Kingdom",EASTERN_ENGLISH_REGION
154,154,Software Developer,Hays,"Taunton, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
155,155,Data Engineer,Avison Young â”‚UK,"All Cannings, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
156,156,Data & Technology Graduate Programme,Ordnance Survey,"Southampton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
157,157,ESRI GIS Developer,Atkins,"London, England, United Kingdom",LONDON_ENGLISH_REGION
158,158,Nuclear Site Support,umbrella,"Harwell, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
159,159,Machine Learning Engineer,Rezatec,"Didcot, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
160,160,Surveyor,Imerys,"Furzebrook, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
161,161,Data Science Engineer,Schroders,"London, England, United Kingdom",LONDON_ENGLISH_REGION
162,162,Junior Computer Vision Engineer,Asure Recruit,"Tunbridge Wells, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
163,163,Senior GIS Specialist,Wood,"Staines-upon-Thames, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
164,164,BI Engineer/Data Visualization,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
165,165,Lead Data Engineer - Geospatial / GIS - Fully Remote Working,Michael Page,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
166,166,Instrumentation and Monitoring Technician,Arcadis,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
167,167,Backend Engineer (Python),Built AI,"London, England, United Kingdom",LONDON_ENGLISH_REGION
168,168,OSINT Analyst,Booz Allen Hamilton,"Huntingdon, England, United Kingdom",EASTERN_ENGLISH_REGION
169,169,Remote Sensing Engineer,Sylvera,"London, England, United Kingdom",LONDON_ENGLISH_REGION
170,170,"GIS Consultant (Various grades, multiple opportunities, UK Wide)",RSK Group,"Stonehouse, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
171,171,Research Assistant,University of Warwick,"Coventry, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
172,172,Data Science Engineer,Schroders,"London, England, United Kingdom",LONDON_ENGLISH_REGION
174,174,Data Scientist,Office for National Statistics,"Darlington, England, United Kingdom",NORTH_EAST_ENGLISH_REGION
175,175,Sensor Operator,2Excel Aviation Ltd,"Doncaster, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
176,176,Associate Technical Director - Instrumentation & Monitoring,Arcadis,"London, England, United Kingdom",LONDON_ENGLISH_REGION
177,177,Data Scientist,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
178,178,Senior Data Engineer - Geospatial / GIS - Fully Remote Working,Michael Page,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
179,179,"Data Scientist, Analytics",what3words,"London, England, United Kingdom",LONDON_ENGLISH_REGION
181,181,ML Ops Engineer,DXC Technology,"London, England, United Kingdom",LONDON_ENGLISH_REGION
182,182,Sales Consultant â€“ Geospatial and Information Management,Jacobs,"London, England, United Kingdom",LONDON_ENGLISH_REGION
184,184,Junior Software Engineer,Autodesk,"Newbury, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
185,185,Geoscience Software Engineer,CGG,"Crawley, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
186,186,Data Engineer/Data Scientist/ Asset Manager / London,Jobs via eFinancialCareers,"London, England, United Kingdom",LONDON_ENGLISH_REGION
188,188,GIS Specialist,RSK Group,"Dorking, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
189,189,Principal Data Engineer,Hays,"Somerset, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
190,190,Senior Geospatial Surveyor,Ridge and Partners LLP,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
191,191,Survey Policy Lead Technical Specialist,Lloyd's Register,"Southampton, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
192,192,Lead Data Scientist,Technical Resources Ltd,"London, England, United Kingdom",LONDON_ENGLISH_REGION
193,193,Hydrographic Surveyor,Port of London Authority,"Gravesend, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
194,194,Data Strategist,Kinect Recruitment Ltd,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
195,195,Data Strategist,Kinect Recruitment Ltd,"London, England, United Kingdom",LONDON_ENGLISH_REGION
196,196,Lead Advisers - Data & Evidence - various roles(Ref: 3757),Natural England,"London, England, United Kingdom",LONDON_ENGLISH_REGION
197,197,Data Science Lead,Datatonic,"London, England, United Kingdom",LONDON_ENGLISH_REGION
198,198,Lead Data Engineer,Harnham,"London, England, United Kingdom",LONDON_ENGLISH_REGION
199,199,GIS Quantitative Analyst,Lombard Odier Investment Managers,"London, England, United Kingdom",LONDON_ENGLISH_REGION
200,200,Data Scientist,Methods,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
201,201,Data Scientist,Methods,"Sheffield, England, United Kingdom",YORKSHIRE_AND_THE_HUMBER_ENGLISH_REGION
203,203,Catastrophe Research Analyst,HIGH FINANCE (UK) LIMITED,"London, England, United Kingdom",LONDON_ENGLISH_REGION
204,204,Senior Data Scientist,AnyVan.com,"London, England, United Kingdom",LONDON_ENGLISH_REGION
205,205,Data Engineer,WovenLight,"London, England, United Kingdom",LONDON_ENGLISH_REGION
206,206,Principal Geospatial Surveyor - Lake District,Tetra Tech,"Cockermouth, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
207,207,Geomatics Surveyor,Atkins,"London, England, United Kingdom",LONDON_ENGLISH_REGION
208,208,Data Engineer,Robert Walters,"Birmingham, England, United Kingdom",WEST_MIDLANDS_ENGLISH_REGION
209,209,Temporary Biodiversity Data Admin Assistant x2 - TVERC,Triumph Consultants Ltd,"Oxfordshire, England, United Kingdom",SOUTH_EAST_ENGLISH_REGION
210,210,Data Analyst,QuantSpark,"London, England, United Kingdom",LONDON_ENGLISH_REGION
211,211,Land Surveyor Olympia,Laing O'Rourke,"London, England, United Kingdom",LONDON_ENGLISH_REGION
212,212,Consultant Scientist â€“ Integrated Catchment Water Quality Modelling,networx | Recruitment Software & Services,"Swindon, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
213,213,Land Surveyor - Asset Data Services,PM Group,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
214,214,Survey Manager,ATS Recruitment Limited,"Essex, England, United Kingdom",EASTERN_ENGLISH_REGION
215,215,Survey Manager,ATS Recruitment Limited,"Ipswich, England, United Kingdom",EASTERN_ENGLISH_REGION
216,216,Geospatial Sales Engineer,Maxar Technologies,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
217,217,Data Engineer,Robert Walters,"Manchester, England, United Kingdom",NORTH_WEST_ENGLISH_REGION
218,218,Consultant Scientist- Integrated Catchment Water Quality Modelling,RSK Group,"Swindon, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
219,219,Survey Manager,Bemillion,"Bristol, England, United Kingdom",SOUTH_WEST_ENGLISH_REGION
